title,company_name,exp_years,location,city,level,time,category,year
Senior Architect (Work from Home),Virtual Worker Now,5,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Sales Area Manager,Elshaheen Center,5,"Siouf, Alexandria",Siouf,Manager,Full Time,Software Engneering,2020
Product Owner,AIM technologies,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
HR Generalist,New Egypt Gold,1,"Obour City, Cairo",Obour City,Entry Level,Full Time,Software Engneering,2020
Accounts Payables Manager,Unknown,10,"Cairo, Egypt",Cairo,Manager,Full Time,Software Engneering,2020
Oracle HCM Cloud Techno Functional Consultant...,Ghassan Ahmed Alsulaiman for Electronic Services,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Area Manager,Unknown,5,"Cairo, Egypt",Cairo,Manager,Full Time,Software Engneering,2020
Graphic Designer - Presentations Specialist,PERSPECTIVA DESIGN LTD,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
HSE Advisor,Ahram Security Group,8,"10th Of Ramadan City, Sharqia",10th Of Ramadan City,Experienced,Full Time,Software Engneering,2020
Business Continuity Supervisor,Xceed,4,"Maadi, Cairo",Maadi,Manager,Full Time,Software Engneering,2020
Digital Strategist Specialist,dkt Egypt,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Eritrean B2B Telesales Executive,Unknown,3,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
Amharic B2B Telesales Executive,Unknown,3,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
French B2B Telesales Executive,Unknown,3,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
Warehouse Manager - Multinational - Alexandria,Pillars,8,"Alexandria, Egypt",Alexandria,Manager,Full Time,Software Engneering,2020
Project Manager - Cairo,KnowledgeNet,5,"Nasr City, Cairo",Nasr City,Manager,Full Time,Software Engneering,2020
Purchasing Manager,Unknown,10,"Badr City, Cairo",Badr City,Manager,Full Time,Software Engneering,2020
Strategic Programs Team Manager,WUZZUF,7,"Maadi, Cairo",Maadi,Manager,Full Time,Software Engneering,2020
Projects Engineer,G.I.S Free Zones,2,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
CNC Production Engineer,ataya,2,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Experienced,Full Time,Software Engneering,2020
Pharma Tele-Sales Representative,World Business Fitness,3,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Sales Supervisor - Canal,PepsiCo International,1,"Suez, Egypt",Suez,Manager,Full Time,Software Engneering,2020
Senior Network Security Engineer,Masria Digital Payment (MDP),3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Sales Supervisor - East Delta,PepsiCo International,1,"Sharqia, Egypt",Sharqia,Manager,Full Time,Software Engneering,2020
Sales Supervisor - Giza,PepsiCo International,1,"Giza, Egypt",Giza,Manager,Full Time,Software Engneering,2020
Architectural Engineer,Meeza,5,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Service Reception Advisor - 10th of Ramadan,MTI Automotive,2,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Experienced,Full Time,Software Engneering,2020
Technical Writer,Paxerahealth Corp,2,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
Treasury Manager,El Mansour Development,5,"Mokattam, Cairo",Mokattam,Manager,Full Time,Software Engneering,2020
Instructional Designer,Dolf,3,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
Mechanical Engineer,Chema Foam,3,"10th Of Ramadan City, Sharqia",10th Of Ramadan City,Experienced,Full Time,Software Engneering,2020
Plumbing And Fire Design Engineer,Egyptian Co. For Eng. consult. Service (Misrconsult),2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
